arm,volume,reps_total,reps_excluded_null,reps_with_full_total,per_workflow_known_mean_usd,per_workflow_known_ci95_halfwidth_usd,per_workflow_known_ci95_low_usd,per_workflow_known_ci95_high_usd,per_workflow_known_n,per_workflow_full_mean_usd,per_workflow_full_ci95_halfwidth_usd,sfn_transitions_gross_total,sfn_transition_cost_gross_usd,sfn_transition_cost_net_freetier_usd,null_components_union
durable,100,10,0,8,9.706392887864e-05,2.1606321969171406e-05,7.545760690946858e-05,0.00011867025084781141,10,0.0001054189678701525,2.3165369595840274e-05,,,,s3_puts
durable,1000,10,0,10,4.39385782560548e-05,1.1663242272498015e-06,4.2772254028805e-05,4.51049024833046e-05,10,4.39385782560548e-05,1.1663242272498015e-06,,,,
durable,10000,10,0,10,4.0288573303599565e-05,3.843071247132934e-07,3.9904266178886274e-05,4.0672880428312855e-05,10,4.0288573303599565e-05,3.843071247132934e-07,,,,
sfn_standard,100,10,0,5,0.00022667569732458614,6.034171263298373e-05,0.0001663339846916024,0.0002870174099575699,10,0.00029055415641406204,9.459865195477525e-05,6000.0,0.15,0.05,dynamodb_reads
sfn_standard,1000,10,0,7,0.0001720930703367796,5.21590016570056e-06,0.00016687717017107903,0.00017730897050248016,10,0.00017614607085621628,3.6078703237038342e-06,60000.0,1.5,1.4,dynamodb_reads
sfn_standard,10000,10,0,10,0.00016786909005622662,2.7087447943158805e-07,0.00016759821557679503,0.00016813996453565822,10,0.00016786909005622662,2.7087447943158805e-07,600000.0,15.0,14.9,
